what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456056218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456059859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456065875
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331456070781
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456070984
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456071062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456072203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456074843
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456085234
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456085234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456086250
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456086250
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331456191828
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456192265
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456192312
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456193953
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456193953
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331456196046
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456197796
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456197843
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331456201375
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1331456201375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456205875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456242875
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331456245750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456276531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456276546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456276656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456368734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456369421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456369437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331456369531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457045812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457049640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457049640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457049750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457382406
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457386015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457386093
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331457393171
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457402140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457402218
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457405468
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457407750
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457408828
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331457410265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331457410968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1331457452046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457452531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457523406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457545046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457545046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331457545140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331458008140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331458010484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331458010484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331458010593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331460147187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331460147609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331471524671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331471525218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331471526578
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331471527062
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1331471527593
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331471527703
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331471527734
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1331471527765
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1331471527781
